member_id|first_name|last_name|parking_benefits|tier
M001|Alice|Johnson|true|gold
M002|Bob|Smith|false|basic
M003|Emily|Davis|true|premium
M004|Michael|Brown|false|basic
M005|Olivia|Wilson|true|gold
M006|Daniel|Taylor|false|basic
M007|Sophia|Anderson|true|premium
M008|William|Martinez|false|basic
M009|Ava|Thomas|true|gold
M010|James|Garcia|false|basic
M121|Jessica|Smith|False|premium
M122|Christopher|Johnson|True|gold
M123|Amanda|Brown|False|basic
M124|Daniel|Jones|True|premium
M125|Melissa|Garcia|False|basic
M126|David|Miller|True|gold
M127|Sarah|Davis|False|premium
M128|Matthew|Rodriguez|True|basic
M129|Jennifer|Martinez|False|gold
M130|Andrew|Hernandez|True|premium
M131|Michelle|Lopez|False|basic
M132|Joseph|Gonzalez|True|gold
M133|Ashley|Wilson|False|premium
M134|Ryan|Anderson|True|basic
M135|Elizabeth|Taylor|False|gold
M136|Mark|Thomas|True|premium
M137|Laura|Moore|False|basic
M138|Kevin|Jackson|True|gold
M139|Stephanie|Martin|False|premium
M140|Brian|Lee|True|basic
